timestamp,open,high,low,close,volume
2024-10-01T14:30:00Z,570.0,570.17,569.67,570.07,1943716
2024-10-01T15:30:00Z,570.07,570.24,570.06,570.12,1258517
2024-10-01T16:30:00Z,570.12,570.97,569.55,570.39,1679796
2024-10-01T17:30:00Z,570.39,572.08,569.57,571.48,813628
2024-10-01T18:30:00Z,571.48,571.85,571.34,571.67,1505889
2024-10-01T19:30:00Z,571.67,571.82,571.3,571.44,1521327
2024-10-01T20:30:00Z,571.44,572.13,569.36,570.62,1593844
2024-10-01T21:30:00Z,570.62,570.79,569.67,570.04,1558403
2024-10-01T22:30:00Z,570.04,570.19,569.08,569.27,967335
2024-10-01T23:30:00Z,569.27,570.22,568.52,568.94,1750870
2024-10-02T00:30:00Z,568.94,569.07,568.51,568.68,949741
2024-10-02T01:30:00Z,568.68,568.83,567.72,568.36,1142679
2024-10-02T02:30:00Z,568.36,569.17,567.74,568.0,1480070
2024-10-02T03:30:00Z,568.0,569.13,567.76,568.3,867319
2024-10-02T04:30:00Z,568.3,569.13,568.03,568.7,1459927
2024-10-02T05:30:00Z,568.7,569.02,567.65,568.22,1762282
2024-10-02T06:30:00Z,568.22,569.18,567.44,568.62,1698490
2024-10-02T07:30:00Z,568.62,569.56,568.35,569.08,1090102
2024-10-02T08:30:00Z,569.08,569.11,568.77,568.95,1685333
2024-10-02T09:30:00Z,568.95,569.4,568.49,569.1,1781571
2024-10-02T10:30:00Z,569.1,569.12,566.13,567.48,1926108
2024-10-02T11:30:00Z,567.48,568.18,567.01,567.32,1415514
2024-10-02T12:30:00Z,567.32,568.46,566.46,566.8,1849805
2024-10-02T13:30:00Z,566.8,567.83,566.68,567.27,1425884
2024-10-02T14:30:00Z,567.27,568.14,567.16,567.88,1912232
2024-10-02T15:30:00Z,567.88,568.63,566.75,567.37,1034603
2024-10-02T16:30:00Z,567.37,569.33,567.27,568.8,1989833
2024-10-02T17:30:00Z,568.8,568.91,567.77,568.37,945149
2024-10-02T18:30:00Z,568.37,569.95,567.54,569.37,1146296
2024-10-02T19:30:00Z,569.37,569.79,569.19,569.42,1244173
2024-10-02T20:30:00Z,569.42,571.68,568.83,570.62,1583119
2024-10-02T21:30:00Z,570.62,571.01,570.2,570.29,1271224
2024-10-02T22:30:00Z,570.29,571.07,570.28,570.59,923467
2024-10-02T23:30:00Z,570.59,571.28,570.16,570.82,948598
2024-10-03T00:30:00Z,570.82,571.26,569.85,570.44,1997564
2024-10-03T01:30:00Z,570.44,570.74,570.09,570.56,1653666
2024-10-03T02:30:00Z,570.56,571.14,570.23,570.84,913605
2024-10-03T03:30:00Z,570.84,572.31,570.74,571.3,1644358
2024-10-03T04:30:00Z,571.3,571.35,571.16,571.3,1093983
2024-10-03T05:30:00Z,571.3,571.62,569.96,570.25,958093
2024-10-03T06:30:00Z,570.25,570.32,567.85,569.15,830949
2024-10-03T07:30:00Z,569.15,571.08,567.97,569.8,1148779
2024-10-03T08:30:00Z,569.8,570.88,569.12,569.32,804520
2024-10-03T09:30:00Z,569.32,570.3,568.24,569.93,1754221
2024-10-03T10:30:00Z,569.93,570.58,569.32,569.87,1820623
2024-10-03T11:30:00Z,569.87,571.37,568.88,571.07,1937065
2024-10-03T12:30:00Z,571.07,572.1,570.47,571.79,1913852
2024-10-03T13:30:00Z,571.79,572.7,571.75,572.18,1189703
2024-10-03T14:30:00Z,572.18,573.06,571.09,572.59,1994695
2024-10-03T15:30:00Z,572.59,573.2,572.25,572.87,1679178
